q,truth,lpbound,pairs,triples,lb,atoms,attrs,t_lp,t_p,t_tr,t_lb,t_t,terr
stats.72,1582060.0,10168860069.734549,3610698565.007805,231958356.0000009,45066.0,6.0,8.0,0.1998319625854492,0.1585323810577392,4.3793346881866455,0.1255114078521728,0.4456658363342285,
stats.73,1639421.0,2978285842.644936,362711901.43544745,41747711.99999992,47215.0,6.0,8.0,0.1834588050842285,0.1693036556243896,4.736638069152832,0.1657445430755615,0.7748603820800781,
stats.74,38686327.0,7919890733.382612,7324116777.444613,1940666687.9999964,417848.0,6.0,8.0,0.1945114135742187,0.1738228797912597,4.682804584503174,0.0648608207702636,0.3896842002868652,
stats.75,3812589.0,6650984966.220662,5392049402.206699,1269571032.000002,159058.0,6.0,8.0,0.1816380023956298,0.127084732055664,4.104282140731812,0.0632081031799316,0.1419951915740966,
stats.76,434967.0,331946399.71162564,289740667.0699324,62136071.73470009,85141.0,6.0,8.0,0.1758375167846679,0.132293701171875,4.191707611083984,0.0613541603088378,0.049882173538208,
stats.77,5982882.0,2206606447.0419083,1184531257.5230548,321255648.0000006,144873.0,6.0,8.0,0.1248292922973632,0.0861637592315673,1.791069746017456,0.0398354530334472,0.165379524230957,
stats.78,426751.0,71944821.45109871,40824264.600756496,12939911.999999983,13527.0,6.0,8.0,0.1151833534240722,0.081958532333374,1.5478370189666748,0.0364546775817871,0.0327992439270019,
stats.79,2870375.0,4668389704.297352,4579133507.759157,1273498560.000004,67373.0,6.0,8.0,0.1685967445373535,0.1015460491180419,1.9115493297576904,0.0431957244873046,0.0976092815399169,
stats.80,1459345.0,12656840.232545229,1659782.9999999974,1459344.9999999995,162276.0,3.0,4.0,0.0452578067779541,0.1078627109527587,0.3155148029327392,0.0942757129669189,0.0458533763885498,
stats.81,657592.0,3265967.2928180126,657592.0,657592.0,102569.0,3.0,4.0,0.0383710861206054,0.0772030353546142,0.1642103195190429,0.0689742565155029,0.0311343669891357,
stats.82,1771584.0,332575529.1632429,260852417.0000001,1771584.0000000016,1771584.0,3.0,4.0,0.073646068572998,0.2534990310668945,0.4347813129425049,0.1967637538909912,0.0532310009002685,
stats.83,2323452.0,334235993.3978545,263105194.00000024,2323451.9999999977,2323452.0,3.0,4.0,0.0673670768737793,0.2429115772247314,0.4194128513336181,0.2015562057495117,0.0562286376953125,
stats.84,10993951.0,34111717.62303597,10993959.99999999,10993950.99999999,146694.0,3.0,4.0,0.1113588809967041,0.3228719234466553,0.4882135391235351,0.2358984947204589,0.1460793018341064,
stats.85,10862842.0,34200029.23820633,11029917.999999989,10862841.999999989,143540.0,3.0,4.0,0.0979983806610107,0.3179147243499756,0.4536244869232178,0.2322001457214355,0.0942058563232421,
stats.86,209182.0,1853197.022417748,591108.0,209181.99999999985,209182.0,4.0,6.0,0.1585872173309326,0.1327729225158691,1.8173210620880127,0.0837297439575195,0.0367519855499267,
stats.87,758411.0,22876248.882404383,15796143.999999989,758410.9999999997,758411.0,3.0,4.0,0.0480122566223144,0.1004033088684082,0.2311248779296875,0.0536365509033203,0.0280032157897949,
stats.88,10223864.0,14309759.261144187,10223863.999999998,10223863.999999998,10223864.0,3.0,4.0,0.0438907146453857,0.0800726413726806,0.2055628299713134,0.0428977012634277,0.07478928565979,
stats.89,1356723.0,69802128.27989739,54725800.00000002,1356722.999999999,1356723.0,3.0,4.0,0.0831587314605712,0.203181505203247,0.4632940292358398,0.1745963096618652,0.0317461490631103,
stats.90,582617.0,4272236.914127297,1008486.9999999992,582616.9999999998,582617.0,3.0,4.0,0.0523607730865478,0.1538763046264648,0.2478613853454589,0.1324143409729004,0.0327367782592773,
stats.91,4197329.0,68811777.63361304,54200975.000000045,4197328.999999995,4197329.0,3.0,4.0,0.0701868534088134,0.2067546844482422,0.4762988090515136,0.175952672958374,0.064173936843872,
stats.92,155561.0,303186.9999999997,239284.5881058785,155561.00000000006,155561.0,3.0,5.0,0.11372971534729,0.1090965270996093,0.8329505920410156,0.0452311038970947,0.0186753273010253,
stats.93,2162683.0,6412840.402036516,2162683.0000000005,2162683.0000000005,2162683.0,3.0,4.0,0.0956249237060546,0.2290394306182861,0.3467895984649658,0.1174826622009277,0.045236587524414,
stats.94,1100297.0,7160333.014354005,2737086.000000003,1100296.9999999995,1100297.0,3.0,4.0,0.0971295833587646,0.2605979442596435,0.388071060180664,0.1383395195007324,0.0403602123260498,
stats.95,4254157.0,22790890.39243792,16254615.58543117,4254157.000000004,1437372.0,4.0,5.0,0.137223482131958,0.0824019908905029,2.801218032836914,0.1703717708587646,0.1667490005493164,
stats.96,2016238.0,14414017.6839122,8705936.11108848,2016237.999999998,900691.0,4.0,5.0,0.136467695236206,0.0861380100250244,2.5498924255371094,0.1668851375579834,0.1745259761810302,
stats.97,56359398.0,1487720720.8003342,558123272.0000014,70306921.00000021,120431.0,4.0,5.0,0.1032056808471679,0.3434555530548095,1.1702451705932615,0.2274303436279297,0.4928231239318847,
stats.98,40855663.0,4724981591.561106,1272719224.0000024,129983957.0,98084.0,4.0,5.0,0.1692278385162353,0.362858772277832,1.380385398864746,0.2492566108703613,0.2230298519134521,
stats.99,1490297.0,2965089605.448931,1038253351.9999998,33072149.99999997,28837.0,4.0,5.0,0.1119415760040283,0.3521513938903808,1.2832190990447998,0.2346656322479248,0.0991518497467041,
stats.100,303210.0,2268384.9475205927,865125.0,310335.0000000003,131107.0,4.0,6.0,0.1194603443145752,0.0799667835235595,1.0805861949920654,0.0389883518218994,0.0413248538970947,
stats.101,408599.0,1848201.980033566,589043.9999999999,414167.0000000001,215626.0,4.0,6.0,0.1456491947174072,0.114814281463623,1.891371726989746,0.0581603050231933,0.049562931060791,
stats.102,2809424.0,26420064.93597493,26420064.93597493,2809424.0000000023,500295.0,4.0,6.0,0.1056075096130371,0.0759854316711425,1.0374503135681152,0.0346331596374511,0.0928997993469238,
stats.103,3778084.0,217304036.17601508,152324823.39778727,22611583.99999995,40595.0,4.0,5.0,0.1044681072235107,0.2499210834503173,1.323244333267212,0.1763384342193603,0.1058349609375,
stats.104,11075893.0,160233542237.14877,80263920700.00017,272665967.5097037,444592.0,4.0,5.0,0.1504569053649902,0.5469295978546143,1.997996091842652,0.3513691425323486,0.3541493415832519,
stats.105,183537163.0,101069886675.7073,54706070006.00007,3158533020.128136,2706910.0,4.0,5.0,0.142061710357666,0.4940207004547119,1.913163423538208,0.3788099288940429,1.6432325839996338,
