q,atoms,attrs,lpbound,t_lp,pairs,t_p,lb,t_lb,truth,t_t,terr
jobrange.257,3,4,7788453.08248117,0.6351323127746582,2356071.6744234,0.35437965393066406,73530,0.31319284439086914,110445.0,0.06835103034973145,
jobrange.258,3,4,1152409.6652415239,0.9009084701538086,136429.02829266572,0.4007718563079834,9389,0.2370319366455078,14070.0,0.0591275691986084,
jobrange.259,3,4,10451811.437435616,0.9664874076843262,1606655.366464134,0.5477254390716553,46414,0.29143333435058594,354654.0,0.048245906829833984,
jobrange.260,3,4,9186179.70799801,0.9621365070343018,1195531.1363924204,0.6303460597991943,31923,0.3309059143066406,239635.0,0.04611515998840332,
jobrange.261,3,4,10451811.437435616,0.9807634353637695,3407607.3106524153,0.5702590942382812,77928,0.3328263759613037,108746.0,0.051985740661621094,
jobrange.262,3,4,34441430.8349718,2.2192740440368652,2473654.942751656,0.8861916065216064,32390,0.5170676708221436,409608.0,0.044986724853515625,
jobrange.263,3,4,6247377.1322454335,0.5556848049163818,3238608.9999999963,0.32901716232299805,415231,0.33611249923706055,1471139.0,0.0855712890625,
jobrange.264,3,4,82622663.23860672,2.241136312484741,28438127.732700527,0.8986251354217529,646743,0.5212852954864502,3855756.0,0.06607961654663086,
jobrange.265,3,4,178637.14124417698,0.9590520858764648,319.9999999999999,0.5421707630157471,21,0.2779421806335449,45.0,0.04046058654785156,
jobrange.266,3,4,719134.4319011972,0.7127666473388672,102258.36072338781,0.3519268035888672,10805,0.21227359771728516,12792.0,0.04975748062133789,
jobrange.267,3,4,1133937.7798200524,0.44307470321655273,11519.999999999993,0.17533111572265625,234,0.10923504829406738,4692.0,0.036626577377319336,
jobrange.268,3,4,272040.57752306404,0.9889819622039795,6539.999999999999,0.5413897037506104,134,0.28566503524780273,2168.0,0.046564340591430664,
jobrange.269,3,4,240482.37231772297,0.4606013298034668,4590.000000000002,0.17140841484069824,451,0.13645148277282715,910.0,0.04701399803161621,
jobrange.270,3,4,53017.047152191706,0.5571548938751221,621.0000000000003,0.19967055320739746,11,0.14441251754760742,19.0,0.03572225570678711,
jobrange.271,3,4,5075210.170655133,0.5773518085479736,1202217.9999999986,0.23221206665039062,47952,0.19797015190124512,142609.0,0.06729602813720703,
